contract_id,month_index,ticket_count,avg_resolution_hours,csat_score,escalation_count
0,0,3,10.049975681953434,2.954070553509915,0
0,1,1,14.23558209845746,,0
0,2,2,9.084398157189504,,0
0,3,0,13.22128365920992,,0
0,4,1,14.947152996116436,3.5940380463352173,0
0,5,1,13.001931112618474,,0
0,6,1,13.184724741718316,3.788013161117085,0
0,7,1,12.494733652893352,3.540350635880654,0
0,8,1,9.02966326305017,4.071619044049617,0
0,9,3,11.381982179885624,,0
1,0,0,4.625360404124317,4.096740751334631,0
1,1,1,8.42515748923002,4.163136895459345,0
1,2,4,8.687670570746755,3.613664248572299,0
1,3,1,9.536656576303322,4.18977565326988,0
1,4,4,6.133010649887462,3.9783590530489383,0
1,5,1,5.07678487845404,4.46079602787645,0
1,6,4,6.872108361202184,4.078300845701599,0
1,7,2,8.705574455655624,4.595000658856359,0
1,8,5,10.305699290315257,,0
1,9,2,8.032035532051628,3.9601585219900928,0
1,10,3,6.408709897749889,3.999197535106266,0
1,11,1,12.355384690469526,4.142943282860133,0
2,0,1,20.694463877603518,2.342582594002484,0
2,1,0,16.726048075056433,1.895910877245756,0
2,2,1,21.34519107496107,,0
2,3,0,19.818164120627255,2.9104404036544707,0
2,4,0,23.6367276381855,,0
2,5,0,19.861707747182813,,0
2,6,0,23.26216251899244,1.9407493801952922,0
2,7,0,22.061059718082156,2.1444921817946665,0
2,8,1,20.36131484667738,,0
2,9,3,21.483477769331458,,0
2,10,2,21.415213791546392,1.6105562569367053,0
2,11,0,23.875906959836144,2.140821001052137,0
2,12,0,22.238150649347304,1.903112962005931,0
3,0,4,7.68016677697872,4.14786320639912,0
3,1,3,6.096941144066071,4.062147006142548,0
3,2,2,4.750429658598712,4.115648085554535,0
3,3,6,11.88554786084589,3.6998658077454705,0
3,4,4,8.466985414930548,3.8895945907619023,0
3,5,1,12.401069612063296,3.6265743343513206,0
3,6,2,7.439093591898987,3.1801350832810136,0
4,0,6,11.808410597959275,4.157521539705961,0
4,1,4,11.258341731875968,3.498013722216022,0
4,2,2,12.426118273512834,3.716396392207094,0
4,3,4,9.315395522112736,3.7283767798268084,0
4,4,0,11.22138628202894,,0
