contract_id,company_id,company_size,industry,region,growth_rate,annual_revenue,sales_process_maturity,crm_maturity_score,seats_start,plan_tier,price_per_seat,discount_pct,contract_value,duration_months
0,598,226,tech,EU,0.05901679919063969,17826643.2674435,1.2000789564268612,0.6274414608077349,23,Enterprise,120,0.2640370036061916,2031.257870046911,10
1,39,74,retail,NA,0.1235742776013615,2911473.834450969,-1.7690759048891183,0.2781777913342812,15,Professional,60,0.08981508749236873,819.1664212568681,12
2,160,150,manufacturing,NA,0.05519853928470001,14098631.625773916,-1.111457956937032,0.6117105176059595,15,Professional,60,0.27998279705351614,648.0154826518354,13
3,702,288,retail,NA,0.13142589570503851,34369472.437140726,2.012270445700765,0.6959710955007686,46,Basic,25,0.033090552348820745,1111.945864798856,7
4,536,184,retail,NA,0.08345427361354697,24077449.898381688,0.975816719344709,0.5464927673664308,18,Professional,60,0.08912147598934589,983.7488059315064,7
5,419,16,tech,NA,0.09641496024129204,2126321.3525030827,-1.326472128311083,0.4927084375437252,8,Basic,25,0.2589574631785071,148.20850736429858,6
6,663,92,tech,APAC,0.14012034929909686,10455709.132044194,-0.9483480042242007,0.3363204306722026,17,Enterprise,120,0.23460543152802377,1561.4049196828316,7
7,94,510,retail,APAC,0.044185068245608264,72998025.94408515,1.0391117874202687,0.8429816602966237,86,Professional,60,0.18193885295811524,4221.195518736125,11
8,441,185,healthcare,EU,0.051985086174232364,23569062.325756803,1.3814540786904865,0.7589552698395137,33,Basic,25,0.20804301771845626,653.3645103822736,11
9,934,93,finance,NA,0.15118831162988905,15698533.081128985,0.8760467925297942,0.7790703651652716,11,Basic,25,0.2554171188529031,204.76029231545166,7
10,557,212,retail,NA,0.015023178010002594,28447536.73963502,0.003375506597160999,0.5928744801145649,24,Enterprise,120,0.13315328911927787,2496.5185273364796,13
11,972,54,manufacturing,EU,0.09038002067883845,5320161.052822534,-1.3683150388328105,0.34420830736373154,13,Basic,25,0.1357628138518948,280.8770854981342,7
12,649,117,tech,APAC,0.13423984561691987,16346815.887582812,0.9022771737866472,0.6697845669972011,26,Basic,25,0.2343722584609182,497.6580320004031,5
13,982,197,healthcare,EU,0.1511818434244461,15248889.243128603,0.7324921027798023,0.46061464955749537,29,Basic,25,0.08669693754110275,662.1447202827005,6
14,465,46,retail,APAC,0.15626606529832196,6415037.18819174,0.8872908372667421,0.7250743264099179,11,Professional,60,0.28692874381764155,470.6270290803566,7
15,287,178,tech,EU,0.09665917640969973,11097822.699767627,-0.2515388860444957,0.603420580592319,30,Basic,25,0.26970544845250916,547.7209136606181,5
16,864,137,retail,APAC,0.07752020987945596,19360960.55110127,0.4086073077017676,0.3940078971335841,26,Professional,60,0.5157643713773513,755.407580651332,6
17,675,56,manufacturing,NA,0.10110407647231623,7731209.818349481,-1.962625691672579,0.226950715067216,12,Enterprise,120,0.22018059403738688,1122.939944586163,9
18,411,139,manufacturing,APAC,0.16503280431053768,8194485.834015571,1.5379319184125528,0.672682926466555,26,Enterprise,120,0.27498585384634777,2262.044135999395,12
19,399,380,finance,NA,0.09011758581999262,40412468.52439141,0.06934433703625043,0.47433242970489997,58,Basic,25,0.0367504817160456,1396.711801511734,11
20,527,318,tech,EU,0.13503468264049745,50269201.070304245,0.606850593215671,0.40420753448695473,39,Professional,60,0.19563889926411654,1882.2049757219675,6
21,17,297,healthcare,APAC,0.16244865235347616,33964386.13596287,-2.0038623644067535,0.42180471436110295,39,Basic,25,0.28595929144853677,696.1896908376767,7
22,135,100,healthcare,EU,0.10769455557407132,10025219.57183031,-0.573601772896901,0.6148420067440614,15,Professional,60,0.5038043668731166,446.5760698141951,6
23,463,474,tech,EU,0.0774822771396252,72946475.4229439,-1.2376624223272978,0.345236465716256,55,Professional,60,0.36088398260766336,2109.082857394711,7
24,758,76,finance,APAC,0.031176857194169752,8151862.846125738,-1.1306153349375263,0.422844529622587,19,Professional,60,0.30895555237105005,787.7906702970029,6
25,247,1334,tech,EU,0.16846644511001052,137378186.17940357,-1.3303136257389898,0.2651787572164853,154,Enterprise,120,0.3103084685881124,12745.499500491684,9
26,842,294,tech,APAC,0.1021364065252978,34059465.65665274,1.4769344261182744,0.4412216774793594,46,Professional,60,0.3307635292222605,1847.092659346561,9
27,709,142,tech,APAC,0.048339686862845226,20679645.87135672,1.5634133588321082,0.562657260702132,26,Basic,25,0.24459360510003803,491.01415668497526,3
28,0,62,tech,EU,0.05075811359588132,6463845.013455031,-0.6751782749743815,0.2705796629422643,10,Professional,60,0.05627600634018402,566.2343961958895,12
29,701,34,finance,EU,0.15614460616519626,3294305.876924386,1.090980425185967,0.7413624790107535,8,Basic,25,0.12385236173417175,175.22952765316563,5
30,380,173,tech,EU,0.09299061843301791,19414628.053533364,-0.9637589262106109,0.39465616323068403,21,Basic,25,0.5317270736237911,245.84328634750966,8
31,508,286,tech,APAC,0.0848742806170032,44489313.72501471,-1.3510743662080213,0.3155611610277748,34,Basic,25,0.14532954330990305,726.4698881865824,4
32,459,287,retail,NA,0.04764244884154543,25658339.51892413,0.4720022709192744,0.4822793316999428,42,Enterprise,120,0.033396736181252024,4871.680449646489,5
33,504,119,healthcare,NA,0.11010107849189585,9326664.397121375,-1.085150526557798,0.4141306818906031,14,Basic,25,0.15018412090802155,297.43555768219244,7
34,805,30,retail,EU,0.06413146525647787,3331705.135305781,-1.7762463334664518,0.28708358694461034,7,Professional,60,0.21153338529569113,331.15597817580976,7
35,475,248,manufacturing,APAC,0.11198869100323154,36322277.46287161,0.7215625051261435,0.6223520047356517,42,Professional,60,0.16607178100090708,2101.499111877714,5
36,556,54,retail,NA,0.0278409388265881,6425396.1266467115,-2.6357477390168778,0.08758351824685627,9,Professional,60,0.5018909781852597,268.9788717799597,5
37,953,391,finance,APAC,0.05478139756985336,30504327.197688386,1.52100622715938,0.53397296113328,42,Professional,60,0.20318678424023984,2007.9693037145955,6
38,848,84,manufacturing,NA,0.11924676259461464,3726861.6416731738,-0.6078752606758179,0.40241410917098597,14,Basic,25,0.3116988571944731,240.9053999819344,8
39,896,27,healthcare,APAC,0.023268462473003987,3632720.6763932076,-2.0841129394985884,0.32750473659029994,7,Professional,60,0.17288278540352164,347.3892301305209,9
40,31,36,manufacturing,EU,0.11812057314377258,5598993.296066754,-0.9735461997044687,0.311401674624018,8,Professional,60,0.285640395982599,342.89260992835244,11
41,903,102,finance,APAC,0.17354953810133894,9730100.741124284,0.32950873557300914,0.6066041859628626,16,Professional,60,0.2039330344235988,764.2242869533452,5
42,117,22,manufacturing,APAC,0.07360438036568437,2281245.8854372553,-0.9943493746085122,0.3627441348394603,6,Basic,25,0.23940165864663882,114.08975120300418,11
43,807,284,tech,APAC,0.09945019757943156,25988687.435277347,-0.8330560570007587,0.5585943282506152,38,Basic,25,0.5471381506016119,430.21875692846874,5
44,183,82,retail,NA,0.12643539606818655,9668266.44016289,1.3728484746765302,0.6989213249133559,17,Enterprise,120,0.1852347365205902,1662.121137497996,5
45,190,220,healthcare,EU,0.1072874809768435,21085028.015119202,-1.5981243518837476,0.3947651146815595,38,Basic,25,0.12198277058790218,834.116367941493,5
46,746,170,tech,EU,0.15484892490007454,20677579.103571683,0.241321934916781,0.5280518408974582,29,Basic,25,0.16022207090033772,608.8389985972552,6
